,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,TOI_GP_Proj
0,0,0,0,0,2,Ryan Suter,23.652235772358,0.22,0.77,35.16,3.65,5.93,0.2,8.2,2.44,0.4,1.42,2.72,20.379471544715,0.11,0.79,32.89,3.3,3.26,0.16,8.47,2.23,0.39,2.91,4.13,0.161704389520026,0.7576962833992715,3.727232742496304,2.718503513815404,3.880977277220451,20.252724327280735
1,1,1,1,1,3,Brent Burns,26.138617886179,0.28,1.23,46.96,5.68,4.93,0.26,12.49,3.25,0.31,1.54,4.2,23.215243902439,0.57,1.36,53.51,8.04,7.06,0.39,17.46,4.85,0.76,1.26,2.71,0.4143681064989994,1.3096624621209616,6.761073850450092,1.5045974103283482,3.461169161501777,22.731224754119395
2,2,2,2,2,4,Mark Giordano,20.88,0.31,1.03,42.17,5.79,5.3,0.25,13.33,3.26,0.27,2.87,5.33,18.950427350427,0.16,0.81,34.29,4.38,3.7,0.2,9.42,2.56,0.32,2.44,5.97,0.2321774828160905,0.9172070726651014,4.922123509105028,2.598113361672811,5.56547454145444,18.99597326868928
3,3,3,3,3,5,Alex Goligoski,18.94537037037,0.09,1.23,30.93,3.52,2.5,0.14,7.61,2.46,0.18,2.46,4.22,17.666666666667,0.15,0.3,20.69,4.65,3.17,0.18,8.56,1.85,0.59,2.44,4.95,0.1662251489981258,0.8201905338842475,4.00949601750885,2.53284399468617,4.716527714675008,17.869824118784823
4,4,4,4,4,6,Alexander Edler,18.462601626016,0.24,1.27,46.34,4.28,5.56,0.18,9.43,3.25,0.79,4.44,5.55,14.774479166667,0.13,0.57,25.58,3.55,3.57,0.1,9.77,2.54,0.13,6.73,6.6,0.1712210032939982,0.7587496679888484,3.474983092570252,6.053871544565638,5.972544307521533,15.352487345899457
5,5,5,5,5,7,Jack Johnson,16.743243243243,0.05,0.39,20.45,2.76,1.75,0.09,6.05,1.5,0.15,4.41,3.29,19.143172690763,0.08,0.23,17.78,3.47,2.17,0.13,6.53,1.43,0.38,4.42,4.8,0.0973404611775282,0.4172253782212272,3.523497699009788,4.322882671236553,4.39853774523876,19.14247471421069
6,6,6,6,6,8,Marc Staal,17.420892018779,0.15,0.63,25.4,3.69,3.95,0.18,6.84,2.33,0.44,4.56,3.64,18.193699186992,0.12,0.48,21.13,2.21,5.45,0.19,6.43,2.29,0.72,6.11,4.91,0.1749944956013308,0.6462464962135079,3.965178561791354,5.609662176129777,4.548100967069972,18.320325099727476
7,7,7,7,7,9,Marc-Edouard Vlasic,15.211111111111,0.16,0.58,50.0,3.31,4.76,0.14,7.63,2.52,0.53,2.84,4.73,17.470512820513,0.04,0.75,36.73,2.95,1.49,0.19,7.88,2.6,0.75,1.98,5.11,0.1546309946596835,0.6161393164977794,3.727916005277184,2.249589497901695,4.934303215384652,17.680214755844535
8,8,8,8,8,10,Kris Letang,25.77735042735,0.3,1.73,47.89,6.39,4.67,0.31,12.03,3.49,0.42,5.1,3.64,24.857552083333,0.45,1.09,42.27,6.07,7.45,0.32,14.11,4.11,0.72,6.11,4.07,0.3808146817433108,1.3167826333316464,6.247221369584079,5.695626708258523,4.0792307285100255,24.15743589014216
9,9,9,9,9,14,Erik Johnson,17.286363636364,0.36,0.77,35.71,6.27,5.76,0.28,11.72,3.25,0.54,7.44,6.13,17.254497354497,0.0,0.44,19.51,5.41,0.0,0.22,10.05,3.15,0.72,6.68,5.63,0.2360416751320573,0.697319022134909,4.843671433606308,6.494088359436986,5.577210411143778,17.502964821030517
10,10,10,10,10,15,Jeff Petry,22.121078431373,0.24,0.84,38.57,4.95,4.84,0.2,10.61,2.43,0.32,5.58,4.67,22.343169398907,0.22,1.14,43.06,4.97,4.42,0.26,11.14,2.42,0.31,8.36,4.89,0.2365323269699681,0.9622274468141104,4.884922415311722,7.453415988682204,4.796390116150253,21.9524301207086
11,11,11,11,11,16,Ian Cole,17.153555555556,0.09,0.79,35.19,3.59,2.6,0.13,8.39,0.93,0.05,5.13,4.85,19.386324786325,0.12,0.56,25.76,4.33,2.75,0.2,8.65,2.62,0.56,4.64,4.88,0.1518368189573509,0.6133126783794196,4.139830224277539,4.601903291788081,4.8361495807163495,19.35599803205165
12,12,12,12,12,17,Justin Braun,19.546618357488,0.27,0.53,39.13,3.25,8.22,0.1,7.12,1.38,0.13,3.87,5.38,14.982679738562,0.0,0.16,8.0,3.3,0.0,0.11,7.85,2.12,0.0,3.69,3.85,0.0829624221866904,0.435540302008487,2.776877941356617,3.691404919120068,4.394730160479445,15.539054949182349
13,13,13,13,13,18,Kevin Shattenkirk,21.417073170732,0.27,0.92,39.33,5.57,4.91,0.28,10.08,3.25,0.58,2.49,4.61,19.303333333333,0.17,0.95,42.19,6.01,2.76,0.23,11.52,2.74,0.41,3.27,4.77,0.2538703596311184,0.9044045006600964,4.8812500520815245,3.15786086036888,4.714294902458704,19.30557856168061
14,14,14,14,14,20,Brendan Smith,13.918148148148,0.38,0.38,32.0,6.04,6.35,0.26,12.26,2.49,0.19,6.99,3.83,15.553333333333,0.0,0.32,14.71,3.73,0.0,0.24,8.23,3.66,0.9,6.56,4.89,0.2284271562041397,0.5560442297004884,5.0864869922346845,6.332777843304315,4.584797601588471,16.006554876702555
15,15,15,15,15,22,Ryan McDonagh,22.442957746479,0.15,0.83,41.27,3.2,4.71,0.19,6.78,2.15,0.56,3.61,5.16,21.529107981221,0.08,0.71,30.3,3.06,2.56,0.23,6.99,2.36,0.55,2.47,6.48,0.1844905387863307,0.7349188169125792,3.845129262763277,2.738334960911142,5.807323463109285,21.246212306434078
16,16,16,16,16,24,Nick Holden,19.848684210526,0.2,0.56,33.33,2.98,6.67,0.14,6.72,1.99,0.32,4.57,4.45,16.707179487179,0.11,0.77,41.03,4.03,2.74,0.18,8.23,2.1,0.39,4.36,3.81,0.141402117563702,0.7227760815960593,3.4145621799425427,4.303516940706453,4.138139865140332,17.040118152772692
17,17,17,17,17,25,Drew Doughty,25.741452991453,0.42,1.43,52.54,5.92,7.07,0.34,10.94,4.6,0.72,3.59,3.17,26.229012345679,0.25,1.21,44.07,4.09,6.21,0.28,8.19,2.82,0.59,3.25,2.94,0.3366938527308034,1.2698459200416388,5.576813698639528,3.318028228515799,3.3300975720614825,25.3497932226386
18,18,18,18,18,26,Alex Pietrangelo,24.644791666667,0.4,0.94,42.31,6.91,5.73,0.38,13.88,3.68,0.33,2.01,4.99,23.981278538813,0.38,1.47,51.92,5.83,6.47,0.35,11.48,2.84,0.55,2.23,6.07,0.3801024784121006,1.244615987072544,6.649130830358445,2.304278424034464,5.535647837769903,23.389704118474288
19,19,19,19,19,27,Zach Bogosian,15.3625,0.24,0.41,34.78,4.88,5.0,0.21,8.79,3.01,0.41,9.28,2.77,14.975,0.09,0.35,20.0,4.7,1.85,0.17,10.19,3.4,0.44,9.93,4.36,0.1937339833986721,0.5140141467966763,4.362338672233476,9.215659289507546,4.021953206502447,15.511037090083722
20,20,20,20,20,28,Luke Schenn,17.204545454545,0.26,0.63,36.96,4.12,6.41,0.2,8.61,1.48,0.16,14.43,5.07,16.354761904762,0.21,0.94,40.0,4.25,4.94,0.14,9.28,1.68,0.26,16.67,5.14,0.1560977689960143,0.7058852532467813,3.847536317439997,15.072162521383238,5.036693170274894,16.72019100034858
21,21,21,21,21,29,Tyler Myers,21.983130081301,0.03,0.57,23.38,4.26,0.78,0.21,8.55,3.2,0.5,4.83,4.93,20.90641025641,0.04,0.59,24.29,3.68,1.0,0.21,8.02,2.5,0.37,3.42,5.3,0.1792162830253346,0.6694921214860623,4.376634078900558,3.642465590458508,5.090736368049825,20.70240610343858
22,22,22,22,22,30,Erik Karlsson,23.470333333333,0.51,1.28,53.85,5.98,8.55,0.38,12.68,5.37,0.97,0.92,2.3,25.615040650407,0.71,2.17,67.33,5.97,11.96,0.37,14.43,5.77,0.97,0.94,2.57,0.5104039950123699,1.6007457902810998,7.34568217040202,1.1667683092239547,2.9044220054710896,24.80433663012196
23,23,23,23,23,31,John Carlson,23.810897435897,0.55,1.74,55.47,6.3,8.72,0.42,12.53,3.68,0.71,2.36,3.62,23.389583333333,0.58,1.28,46.77,7.95,7.26,0.55,16.74,5.84,0.64,2.69,5.58,0.576491715765903,1.5810661379018311,7.981269365850492,2.703744232770762,4.917042883193695,22.870948035764158
24,24,24,24,24,32,Roman Josi,25.547291666667,0.68,2.14,63.16,8.25,8.19,0.46,16.53,4.52,0.82,1.94,3.9,25.167164179104,0.64,1.46,57.84,9.57,6.69,0.6,19.29,7.01,1.46,1.81,5.2,0.673742665115501,1.7922931625432497,9.383364389279516,1.9792779524844928,4.775465756318123,24.425482831145548
25,25,25,25,25,33,Justin Schultz,16.920045045045,0.19,0.91,43.4,4.41,4.35,0.28,9.82,3.59,0.62,1.92,4.17,17.789497716895,0.32,1.25,42.5,4.53,7.14,0.25,9.93,2.82,0.69,1.39,3.33,0.2796439310769256,1.0185656029884247,5.022035535315322,1.6622371598353332,3.799683176347388,17.966301058935585
26,26,26,26,26,34,Travis Hamonic,18.845736434109,0.3,0.44,27.78,6.07,4.88,0.26,12.66,3.18,0.3,5.4,6.89,18.560222222222,0.26,0.65,35.59,5.86,4.41,0.21,11.94,2.67,0.47,4.7,6.16,0.255459252898709,0.7281185818137672,5.215488393179957,4.689722260865146,6.064486051029165,18.64629882076253
27,27,27,27,27,36,TJ Brodie,21.311382113821,0.14,0.82,31.82,2.33,5.88,0.11,5.42,1.41,0.38,1.82,3.64,21.217528735632,0.1,0.59,28.0,2.83,3.45,0.12,4.92,1.46,0.34,2.29,5.41,0.0953553998267181,0.6522372457235912,2.70793879347798,2.3188683472240768,4.827190394784225,20.969510184398203
28,28,28,28,28,38,Jared Spurgeon,21.157179487179,0.44,1.31,38.83,5.06,8.62,0.27,10.21,3.1,0.52,1.92,3.62,21.812025316456,0.38,0.8,38.64,5.19,7.38,0.36,10.1,3.48,1.04,2.3,6.23,0.3701617721947831,1.2172658623125023,5.671153074047711,2.342260488861145,5.279859139222225,21.485662644111738
29,29,29,29,29,39,Victor Hedman,25.075,0.58,1.9,53.13,6.39,9.13,0.42,13.48,4.87,0.96,2.71,3.76,23.719078947368,0.3,1.33,44.55,6.16,4.86,0.35,13.21,4.43,0.57,3.16,4.53,0.438138026873394,1.5090570588783294,6.42986151271338,3.11068282534251,4.366220504087394,23.163905087439552
30,30,30,30,30,40,Oliver Ekman-Larsson,22.313080168776,0.17,0.82,36.71,5.72,2.98,0.24,11.98,2.83,0.31,3.57,2.69,20.175925925926,0.11,1.1,44.0,4.96,2.22,0.19,10.85,2.81,0.28,3.19,2.37,0.1967829756486339,0.8475112541622074,4.732623420495454,3.2700076539427845,2.891025616146216,20.068903124962805
31,31,31,31,31,41,Calvin de Haan,18.957729468599,0.18,0.18,20.0,4.91,3.74,0.19,10.32,2.57,0.28,6.7,7.89,13.533018867925,0.17,0.84,37.5,4.27,3.92,0.26,12.8,4.02,0.84,7.03,4.1,0.2309145158396223,0.6888603141556852,5.102355073148226,6.637832545945698,5.166533459515229,14.27551244943614
32,32,32,32,32,42,Dmitry Kulikov,18.195833333333,0.29,0.7,34.78,3.05,9.46,0.19,6.92,2.1,0.45,4.12,4.25,19.474129353234,0.14,0.6,33.33,3.86,3.57,0.19,6.81,2.12,0.55,4.41,4.97,0.1673852788985667,0.7671179003906218,3.1594324295335308,4.269243749776408,4.735248167303642,19.43766353877754
33,33,33,33,33,43,Nick Leddy,21.412,0.11,0.78,35.82,2.65,4.23,0.12,5.16,1.35,0.22,1.38,2.5,21.124786324786,0.07,0.76,29.49,2.88,2.53,0.16,5.97,2.0,0.29,1.57,3.5,0.113195016099765,0.6743205960645964,3.390519192837955,1.7107827367446595,3.4739075111533584,20.88938006573541
34,34,34,34,34,44,Brayden McNabb,19.7,0.13,0.66,30.51,3.75,3.53,0.17,8.61,2.03,0.35,6.8,7.9,19.843699186992,0.04,0.59,22.97,3.28,1.12,0.15,8.08,2.06,0.26,7.41,7.26,0.1310498665655397,0.5994432225756465,3.6687742409925983,6.93771768949436,6.932897601175999,19.766691137562834
35,35,35,35,35,45,Tyson Barrie,18.960502283105,0.3,1.47,42.27,6.46,4.7,0.32,12.87,2.69,0.26,1.17,3.16,19.778431372549,0.46,1.5,47.83,5.82,7.98,0.34,11.74,2.68,0.61,1.96,3.21,0.3599439987635182,1.366714079685199,6.221439092155038,1.968790654943749,3.478286904520492,19.70616650418897
36,36,36,36,36,46,Dmitry Orlov,20.962719298246,0.45,0.87,39.77,4.78,9.45,0.25,8.96,2.86,0.64,4.67,3.54,22.545454545455,0.28,1.17,51.43,5.0,5.65,0.28,9.6,3.51,0.77,5.52,3.43,0.3000534019884247,1.046739565859891,4.96056764034677,5.186279223420097,3.6968066759689022,22.12241736270592
37,37,37,37,37,47,Brian Dumoulin,21.81798245614,0.11,0.54,21.95,3.29,3.3,0.16,6.69,1.52,0.36,3.18,5.03,20.640853658537,0.04,0.85,35.71,2.91,1.22,0.14,6.7,2.16,0.39,4.36,5.03,0.1141243154005541,0.6093230569343236,3.5481017255691025,4.08223786726394,4.965217662151008,20.47065155971362
38,38,38,38,38,48,Mattias Ekholm,23.478289473684,0.2,0.84,36.05,4.88,4.14,0.35,10.46,3.03,0.71,2.66,3.23,21.447863247863,0.32,0.82,36.78,4.84,6.67,0.28,10.26,3.23,0.93,3.26,3.73,0.3160220644780342,0.8538503410997669,5.248124250890108,3.177450984796185,3.7861726188901295,21.18084715187068
39,39,39,39,39,49,Chris Wideman,14.876041666667,0.25,1.45,55.1,4.79,5.26,0.2,9.33,2.33,0.25,2.77,2.9,13.511956521739,0.0,0.58,22.22,2.99,0.0,0.09,6.47,1.35,0.19,2.41,4.92,0.1190172515943258,0.7752210282304812,3.4439295128277694,2.559775652364846,4.367279826129353,14.236380289875074
40,40,40,40,40,50,David Savard,20.790591397849,0.14,0.65,36.96,3.07,4.55,0.22,5.91,2.0,0.98,6.24,5.91,22.387096774194,0.13,0.73,41.67,2.72,4.76,0.11,5.32,1.73,0.43,2.64,7.61,0.1479075176637565,0.5075580563213058,3.03451695582106,3.284051396296364,6.62698745774509,21.983840952927032
41,41,41,41,41,51,Ben Chiarot,22.848873873874,0.32,0.6,39.39,5.07,6.29,0.2,9.51,2.91,0.57,5.57,4.61,20.607675438596,0.19,0.54,33.93,4.21,4.55,0.22,8.85,2.15,0.27,5.63,6.24,0.2332659101984262,0.70163649040904,4.471610842876858,5.411754065824608,5.53481781993861,20.447059544771943
42,42,42,42,42,52,Nick Jensen,19.345394736842,0.2,0.65,28.38,3.59,5.68,0.16,8.33,2.16,0.41,5.51,3.75,20.616666666667,0.19,0.91,49.15,4.12,4.59,0.21,9.71,2.65,0.45,4.04,4.84,0.1892915011918589,0.8185299419133015,4.023234927510265,4.214029821307327,4.536736990763543,20.437009192922602
43,43,43,43,43,53,Brenden Dillon,18.832700421941,0.12,0.69,28.99,3.43,3.53,0.16,8.19,2.06,0.2,8.55,4.36,19.588414634146,0.07,0.78,38.33,3.1,2.41,0.13,7.62,1.79,0.22,7.4,4.03,0.1161141250815898,0.6897894696339196,3.630019067738252,7.208833667187256,4.238268586774413,19.540287409740998
44,44,44,44,44,54,Radko Gudas,18.015151515152,0.13,0.56,21.05,4.33,3.0,0.16,9.6,2.08,0.26,15.36,5.1,17.36087962963,0.1,0.72,32.69,5.28,1.82,0.18,11.81,2.26,0.43,14.98,5.95,0.1547803295053859,0.6849154246704162,4.134675996788821,13.957312080747505,5.496374918692049,17.599185525619873
45,45,45,45,45,56,Justin Holl,20.208695652174,0.13,0.86,32.39,2.75,4.69,0.15,5.51,2.02,0.47,5.55,4.48,20.241458333333,0.07,0.59,24.66,2.22,3.33,0.13,4.04,1.3,0.48,5.59,5.15,0.113640752059385,0.6751434891955951,3.041475421463536,5.37867905892249,4.893656406934595,20.115153346264865
46,46,46,46,46,57,Patrik Nemeth,16.634656084656,0.11,0.29,20.59,2.98,3.85,0.14,6.53,1.43,0.34,6.58,5.84,17.770888888889,0.0,0.23,14.71,2.79,0.0,0.1,6.26,1.67,0.32,5.22,5.31,0.0801358188889329,0.3313938724385406,2.990184576354495,5.2661554423675785,5.325543380712707,17.948664374299867
47,47,47,47,47,58,Jon Merrill,17.1,0.2,0.81,33.9,3.0,6.78,0.12,6.0,1.47,0.1,2.34,5.7,15.145433789954,0.11,0.54,30.0,2.33,4.65,0.11,5.37,1.19,0.22,2.55,5.81,0.0926553110963961,0.6821818460244641,2.894543042647429,2.59594138751416,5.569367389333331,15.668097864607233
48,48,48,48,48,59,Justin Faulk,23.197149122807,0.54,1.06,38.84,5.68,9.58,0.33,10.82,3.54,0.71,5.07,3.44,23.377235772358,0.34,1.22,44.25,6.13,5.61,0.39,11.02,3.63,0.85,3.51,4.38,0.4023589730674074,1.2710715034601314,6.144201443148358,3.7479271037014312,4.201887003559105,22.857081065173542
49,49,49,49,49,60,Derek Forbort,18.104824561404,0.17,0.44,27.45,2.79,6.25,0.09,5.76,1.09,0.17,5.8,4.36,17.732098765432,0.31,0.44,28.57,2.38,13.16,0.1,6.45,1.57,0.13,6.64,5.51,0.1196309017345176,0.5117368973504135,3.0821962701358387,6.203119756148629,5.064373292808603,17.922433000369082
50,50,50,50,50,61,Cam Fowler,24.416228070175,0.29,1.07,44.21,4.01,7.26,0.23,9.7,3.23,0.45,1.2,3.75,24.17337398374,0.3,1.15,51.06,3.93,7.69,0.23,8.9,3.0,0.58,0.54,3.15,0.2557280802432581,1.0845666336960256,4.581943328066024,0.9124311576505508,3.593414725089365,23.5555731827757
