Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Zdeno Chara,21.077688172043,0.23,0.41,21.54,4.55,5.05,0.24,9.14,1.65,0.28,3.72,4.04
Ron Hainsey,20.255967078189,0.18,0.66,24.73,2.96,6.17,0.1,6.44,1.39,0.07,3.33,5.27
Brooks Orpik,15.66320754717,0.14,0.51,21.43,3.11,4.65,0.09,7.23,1.52,0.14,9.47,5.64
Niklas Kronwall,19.955063291139,0.11,0.91,36.0,2.7,4.23,0.12,4.72,0.91,0.11,3.2,3.65
Deryk Engelland,19.877702702703,0.08,0.41,24.49,4.28,1.9,0.13,8.77,1.55,0.2,6.73,6.2
Dan Hamhuis,16.047076023392,0.0,0.33,18.52,2.56,0.0,0.11,5.38,1.18,0.2,2.49,4.0
Trevor Daley,18.55946969697,0.15,0.44,24.24,3.45,4.26,0.2,6.1,2.28,0.81,1.03,3.89
Jay Bouwmeester,20.730555555556,0.11,0.52,34.69,3.04,3.66,0.14,6.23,1.67,0.48,2.26,4.71
Johnny Boychuk,18.82972972973,0.13,0.69,31.67,6.76,1.91,0.23,13.95,2.63,0.34,6.2,5.17
Duncan Keith,23.017479674797,0.19,1.08,38.1,4.48,4.26,0.2,8.96,2.0,0.32,1.34,4.58
Jonathan Ericsson,17.219551282051,0.2,0.13,19.23,3.22,6.25,0.11,7.1,1.41,0.13,6.57,3.75
Ryan Suter,26.692073170732,0.19,1.1,42.34,3.73,5.15,0.19,8.72,1.89,0.44,2.14,2.99
Braydon Coburn,16.110135135135,0.2,0.96,44.23,5.69,3.54,0.23,11.32,2.47,0.45,4.83,3.12
Dion Phaneuf,14.999004975124,0.06,0.3,18.75,4.78,1.25,0.18,11.76,2.57,0.42,7.64,4.72
Brent Seabrook,19.096794871795,0.2,0.93,42.42,6.65,3.03,0.3,12.21,2.66,0.36,4.99,7.25
Brent Burns,25.09918699187,0.47,1.95,58.45,8.75,5.33,0.41,20.09,4.23,0.73,2.62,3.06
Shea Weber,23.455747126437,0.62,0.84,47.83,7.32,8.43,0.31,14.95,1.72,0.26,5.69,4.85
Dustin Byfuglien,24.35873015873,0.23,1.58,50.0,6.74,3.48,0.38,13.37,3.17,1.17,4.52,2.99
Mark Giordano,24.239102564103,0.54,1.81,51.39,7.01,7.69,0.39,15.55,3.59,0.7,1.84,4.57
Mike Green,21.681395348837,0.32,1.35,55.32,5.92,5.43,0.28,11.2,3.6,0.58,3.86,3.6
Alex Goligoski,20.814254385965,0.11,0.91,38.57,3.87,2.94,0.16,8.76,1.71,0.27,3.0,5.84
Alexander Edler,24.56994047619,0.44,1.05,45.95,5.58,7.81,0.21,11.08,2.18,0.17,5.54,7.24
Roman Polak,19.168181818182,0.04,0.33,20.0,3.13,1.3,0.16,6.3,1.42,0.33,7.76,6.18
Jack Johnson,19.278455284553,0.04,0.46,20.63,3.26,1.16,0.13,8.05,1.78,0.08,8.84,5.58
Marc Staal,19.420253164557,0.12,0.39,23.21,3.29,3.57,0.15,6.65,2.35,0.35,3.68,4.65
Matt Niskanen,21.931458333333,0.27,0.58,39.06,4.89,5.59,0.17,8.75,1.74,0.27,5.71,4.69
Marc-Edouard Vlasic,21.042592592593,0.12,0.87,34.72,3.96,3.0,0.22,9.35,2.97,0.51,0.91,4.51
Adam McQuaid,15.777333333333,0.23,0.3,23.33,2.13,10.71,0.12,5.55,0.99,0.0,9.28,6.69
Kris Letang,25.959230769231,0.57,1.42,47.46,7.33,7.77,0.37,13.48,3.41,0.53,4.12,3.95
Kris Russell,20.427314814815,0.12,0.53,27.12,2.57,4.76,0.13,5.79,1.47,0.29,3.79,7.55
Keith Yandle,22.443495934959,0.29,1.73,48.44,6.49,4.52,0.32,13.3,2.67,0.2,1.53,2.48
Niklas Hjalmarsson,19.69837398374,0.0,0.37,16.13,2.12,0.0,0.1,4.05,0.71,0.04,1.67,6.95
Anton Stralman,20.52304964539,0.12,0.93,35.42,3.55,3.51,0.13,7.53,1.56,0.25,3.67,4.42
Dan Girardi,17.800268817204,0.22,0.65,29.09,4.08,5.33,0.22,7.12,2.01,0.49,8.21,5.87
Andy Greene,20.833739837398,0.18,0.7,37.31,3.65,4.81,0.19,7.27,1.83,0.49,2.35,7.31
Alex Biega,17.671138211382,0.17,1.16,48.48,7.54,2.2,0.25,15.15,3.89,0.83,8.36,3.56
Erik Johnson,21.814583333333,0.24,0.62,31.65,4.95,4.86,0.23,9.73,2.78,0.45,4.26,4.92
Jeff Petry,23.105284552846,0.41,1.05,45.1,5.45,7.56,0.31,13.84,2.98,0.54,6.02,3.9
Andrew MacDonald,16.394326241135,0.0,0.7,27.27,3.19,0.0,0.14,8.02,1.48,0.31,2.34,7.4
Ben Lovejoy,17.086384976526,0.1,0.35,22.5,4.7,2.11,0.15,9.05,1.53,0.3,3.76,5.84
Ian Cole,19.756103286385,0.09,0.56,26.32,3.51,2.44,0.17,7.74,1.45,0.26,4.58,7.61
Justin Braun,20.306623931624,0.08,0.53,32.65,3.98,1.9,0.14,8.45,1.52,0.38,4.58,4.55
Kevin Shattenkirk,18.939726027397,0.09,1.13,50.0,6.42,1.35,0.28,12.63,3.12,0.43,3.17,4.51
P.K. Subban,22.664285714286,0.38,0.92,42.47,7.06,5.36,0.25,12.86,1.89,0.08,2.35,3.15
Thomas Hickey,18.505,0.0,0.32,13.79,3.81,0.0,0.14,8.92,1.7,0.24,3.24,5.76
Brendan Smith,15.295767195767,0.25,0.56,54.17,4.11,6.06,0.33,9.15,3.36,1.31,6.23,2.99
