Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Zdeno Chara,18.729861111111,0.09,0.53,25.45,3.6,2.47,0.18,7.65,1.33,0.13,5.56,4.0
Duncan Keith,19.726822916667,0.05,0.95,34.43,3.75,1.27,0.16,8.32,1.57,0.19,1.05,5.42
Ryan Suter,23.652235772358,0.22,0.77,35.16,3.65,5.93,0.2,8.2,2.44,0.4,1.42,2.72
Brent Burns,26.138617886179,0.28,1.23,46.96,5.68,4.93,0.26,12.49,3.25,0.31,1.54,4.2
Mark Giordano,20.88,0.31,1.03,42.17,5.79,5.3,0.25,13.33,3.26,0.27,2.87,5.33
Alex Goligoski,18.94537037037,0.09,1.23,30.93,3.52,2.5,0.14,7.61,2.46,0.18,2.46,4.22
Alexander Edler,18.462601626016,0.24,1.27,46.34,4.28,5.56,0.18,9.43,3.25,0.79,4.44,5.55
Jack Johnson,16.743243243243,0.05,0.39,20.45,2.76,1.75,0.09,6.05,1.5,0.15,4.41,3.29
Marc Staal,17.420892018779,0.15,0.63,25.4,3.69,3.95,0.18,6.84,2.33,0.44,4.56,3.64
Marc-Edouard Vlasic,15.211111111111,0.16,0.58,50.0,3.31,4.76,0.14,7.63,2.52,0.53,2.84,4.73
Kris Letang,25.77735042735,0.3,1.73,47.89,6.39,4.67,0.31,12.03,3.49,0.42,5.1,3.64
Keith Yandle,13.979004329004,0.06,1.0,47.5,5.85,0.95,0.27,12.99,2.29,0.22,1.62,2.23
Anton Stralman,21.345945945946,0.3,0.57,34.33,3.61,8.42,0.15,6.88,2.13,0.49,3.76,3.8
Andy Greene,17.411352657005,0.1,0.4,25.64,2.6,3.85,0.11,6.29,1.25,0.15,1.95,6.29
Erik Johnson,17.286363636364,0.36,0.77,35.71,6.27,5.76,0.28,11.72,3.25,0.54,7.44,6.13
Jeff Petry,22.121078431373,0.24,0.84,38.57,4.95,4.84,0.2,10.61,2.43,0.32,5.58,4.67
Ian Cole,17.153555555556,0.09,0.79,35.19,3.59,2.6,0.13,8.39,0.93,0.05,5.13,4.85
Justin Braun,19.546618357488,0.27,0.53,39.13,3.25,8.22,0.1,7.12,1.38,0.13,3.87,5.38
Kevin Shattenkirk,21.417073170732,0.27,0.92,39.33,5.57,4.91,0.28,10.08,3.25,0.58,2.49,4.61
P.K. Subban,18.294805194805,0.21,0.72,33.33,4.86,4.39,0.22,11.24,3.15,0.26,2.94,3.83
Brendan Smith,13.918148148148,0.38,0.38,32.0,6.04,6.35,0.26,12.26,2.49,0.19,6.99,3.83
Robert Bortuzzo,13.737442922374,0.06,0.3,19.35,2.81,2.13,0.14,5.21,1.91,0.3,8.08,5.86
Ryan McDonagh,22.442957746479,0.15,0.83,41.27,3.2,4.71,0.19,6.78,2.15,0.56,3.61,5.16
Jake Muzzin,20.72695035461,0.18,0.68,34.15,4.62,4.0,0.18,10.22,3.14,0.25,6.47,3.7
Nick Holden,19.848684210526,0.2,0.56,33.33,2.98,6.67,0.14,6.72,1.99,0.32,4.57,4.45
