Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Matt Cullen,11.509624413146,0.51,0.95,62.5,6.39,8.05,0.58,9.4,5.36,2.94,2.35,2.28
Joe Thornton,15.548401826484,0.85,1.85,67.11,4.76,17.78,0.52,7.88,4.6,1.85,0.9,0.74
Patrick Marleau,16.344512195122,0.72,0.94,50.0,7.21,9.94,0.85,11.59,8.68,4.3,3.31,1.84
Justin Williams,17.442682926829,0.96,1.26,60.92,9.94,9.7,1.14,15.81,9.14,5.29,2.31,1.34
Ilya Kovalchuk,16.232552083333,0.92,1.04,70.83,8.14,11.35,0.76,14.55,7.85,2.43,1.62,1.1
Jason Spezza,13.270175438596,0.48,1.13,51.92,7.2,6.61,0.65,12.79,6.01,2.86,0.95,1.78
Mikko Koivu,18.297222222222,0.55,1.43,67.44,6.08,8.99,0.63,10.52,6.22,2.32,0.89,2.19
Jason Pominville,12.463926940639,1.06,0.99,67.39,8.84,11.94,0.87,13.06,7.72,4.22,1.19,1.32
Valtteri Filppula,14.274768518519,0.99,0.82,65.96,4.55,21.79,0.54,7.06,4.9,2.51,0.7,1.98
Frans Nielsen,16.670833333333,0.5,1.25,60.34,6.0,8.33,0.47,9.25,4.85,2.15,3.95,2.2
Alexander Steen,15.841282051282,0.58,0.99,58.7,6.64,8.77,0.56,10.84,6.35,2.74,3.2,2.91
Eric Staal,18.125308641975,0.9,1.23,60.47,8.79,10.23,0.98,14.3,8.5,4.45,1.68,1.14
Thomas Vanek,14.111458333333,1.06,1.33,64.29,7.18,14.81,0.84,12.95,7.24,3.45,2.52,0.86
Jeff Carter,18.157456140351,0.57,0.87,55.0,7.57,7.47,0.86,14.3,7.96,3.78,3.48,1.3
Dustin Brown,20.406018518519,0.9,1.18,63.75,7.35,12.22,0.73,12.09,7.31,3.51,6.13,1.18
Zach Parise,18.668243243243,1.22,1.43,72.62,9.95,12.23,1.2,14.98,9.64,5.82,2.13,3.08
Eric Fehr,11.042824074074,0.53,0.6,71.43,5.06,10.45,0.66,9.73,5.81,2.94,3.02,3.62
Ryan Getzlaf,19.462686567164,0.64,1.56,75.0,6.12,10.53,0.56,12.47,5.43,2.02,6.9,3.4
Ryan Kesler,16.498611111111,0.3,0.18,36.36,5.21,5.81,0.59,9.03,5.39,2.91,5.64,3.39
Brian Boyle,13.435616438356,1.1,0.37,44.44,7.52,14.63,0.83,11.99,7.89,4.16,8.87,3.06
Loui Eriksson,14.065020576132,0.58,0.95,74.36,5.64,10.28,0.66,8.95,5.53,3.11,0.16,1.47
Patrice Bergeron,18.467179487179,1.6,2.35,69.3,10.25,15.61,1.29,18.44,11.4,4.75,2.15,3.0
David Backes,13.03880952381,0.46,0.85,48.78,8.48,5.43,0.66,13.08,6.11,2.7,9.2,1.97
Brad Richardson,15.960858585859,1.08,0.46,62.79,7.29,14.84,0.74,12.25,6.49,3.13,3.59,3.13
Nate Thompson,12.999358974359,0.3,0.47,46.43,4.2,7.04,0.39,6.51,3.61,1.89,5.15,2.6
Joe Pavelski,19.044,1.6,1.09,66.67,7.9,20.21,1.13,12.48,9.45,5.21,2.9,2.56
Kyle Brodziak,11.691904761905,0.44,0.22,50.0,5.42,8.11,0.52,9.46,5.21,2.42,6.74,3.37
Alex Ovechkin,20.921193415638,1.81,1.35,64.49,11.97,15.09,1.23,23.65,10.27,3.01,7.9,1.45
Evgeni Malkin,18.803921568627,0.99,2.39,79.12,8.82,11.17,0.85,15.2,9.2,3.57,2.53,1.55
Blake Wheeler,20.709756097561,0.71,2.51,73.39,8.16,8.66,0.7,13.36,6.85,2.26,2.86,1.87
Drew Stafford,12.265497076023,0.43,0.69,52.0,6.61,6.49,0.62,11.67,6.44,3.26,4.29,1.63
Alexander Radulov,19.782857142857,1.26,1.86,68.57,9.1,13.81,0.97,15.94,9.01,4.25,2.6,3.6
Travis Zajac,19.270833333333,0.74,1.05,62.16,4.67,15.83,0.59,7.67,5.49,2.45,2.57,1.48
Blake Comeau,15.726406926407,0.35,0.55,58.06,5.05,6.86,0.5,8.82,5.2,2.38,10.31,1.98
Carl Soderberg,17.448983739837,0.96,1.09,70.0,7.88,12.23,0.84,13.17,8.55,4.49,4.15,2.81
Brandon Dubinsky,12.355464480874,0.48,0.64,70.0,5.02,9.52,0.51,7.64,4.46,2.47,11.7,2.23
David Krejci,17.678189300412,0.84,2.22,78.49,5.82,14.39,0.56,10.1,5.78,2.22,1.17,1.01
Troy Brouwer,12.688888888889,0.76,0.57,65.63,5.42,13.95,0.52,8.57,4.35,2.14,11.16,2.4
Paul Stastny,18.104,0.86,1.92,71.19,6.83,12.62,1.01,10.67,8.09,4.71,2.32,0.99
Sidney Crosby,20.991772151899,1.27,2.35,71.94,7.96,15.91,1.03,12.59,8.72,4.81,3.08,1.56
Bobby Ryan,15.682264957265,0.74,1.32,63.64,7.85,9.38,0.76,14.76,7.6,3.24,3.78,2.4
Anze Kopitar,22.298559670782,0.73,1.26,65.22,5.18,14.1,0.65,9.9,5.78,2.72,1.96,2.19
T.J. Oshie,18.611111111111,1.17,1.35,56.84,6.73,17.36,0.92,12.29,8.55,4.44,6.21,2.57
Andrew Cogliano,12.590811965812,0.37,0.67,68.0,6.48,5.66,0.68,10.51,6.29,3.24,4.15,1.96
James Neal,14.958201058201,0.45,0.76,48.72,8.98,4.96,0.84,14.96,8.85,3.44,2.93,1.21
Justin Abdelkader,15.39882629108,0.33,0.71,57.58,5.21,6.32,0.6,8.73,5.16,3.02,10.15,1.87
Vladimir Sobotka,14.185748792271,0.31,0.49,52.0,4.35,7.04,0.35,7.78,3.68,1.41,5.33,1.84
Darren Helm,14.576229508197,0.47,0.67,60.71,7.22,6.54,0.65,12.89,6.28,2.16,3.37,1.75
Ryan Reaves,10.859375,0.62,0.76,58.82,6.56,9.47,0.86,11.05,7.8,4.97,21.06,1.66
Patric Hornqvist,15.476328502415,1.01,1.07,48.05,11.07,9.14,1.32,16.97,11.35,6.01,8.43,1.91
Bryan Little,15.832723577236,0.69,1.2,62.12,5.82,11.9,0.56,9.1,5.96,3.14,2.87,1.34
Brad Marchand,19.623628691983,1.39,2.48,74.63,8.94,15.58,0.96,16.64,9.13,3.79,1.78,0.74
Nick Foligno,17.703881278539,0.79,0.84,47.3,6.55,12.06,0.79,10.17,6.59,3.3,8.12,2.37
Kyle Okposo,13.785256410256,0.78,0.84,58.0,8.2,9.52,0.7,12.95,6.75,2.96,4.85,1.51
Trevor Lewis,14.022727272727,0.29,0.88,66.67,8.46,3.45,0.62,13.03,6.22,2.43,5.15,2.43
Leo Komarov,13.891463414634,0.32,1.05,55.32,4.11,7.69,0.48,7.48,4.27,2.37,10.69,2.0
Milan Lucic,13.235864978903,0.34,0.8,48.78,4.25,8.11,0.57,9.75,6.08,2.98,14.86,1.26
Cal Clutterbuck,13.972602739726,0.47,0.88,63.89,5.59,8.42,0.83,11.0,7.59,4.12,12.29,2.35
Claude Giroux,21.456707317073,0.75,2.15,69.67,7.81,9.61,0.59,14.29,6.41,1.81,0.95,0.65
Jordan Staal,18.284666666667,0.72,1.12,62.22,7.94,9.09,1.08,12.93,9.38,4.99,8.01,1.18
Derick Brassard,14.995238095238,0.8,0.51,52.27,6.29,12.73,0.58,10.86,5.83,2.74,5.83,0.86
Phil Kessel,17.97825203252,1.1,2.24,82.0,8.75,12.56,0.93,15.06,8.83,3.38,0.49,0.73
Nicklas Backstrom,19.952708333333,0.83,1.95,64.91,6.35,13.02,0.71,10.79,6.5,2.89,2.03,1.13
Michael Frolik,13.361282051282,1.11,1.24,65.38,9.12,12.12,0.9,14.99,8.77,3.32,3.94,1.52
Artem Anisimov,16.342735042735,0.71,1.04,67.27,6.68,10.56,0.9,12.8,7.67,4.09,1.18,1.55
Jonathan Toews,21.006910569106,1.22,1.6,64.8,8.22,14.83,0.96,12.37,8.15,4.01,1.46,1.53
Mathieu Perreault,12.232113821138,0.9,0.9,60.0,5.68,15.79,0.62,10.11,6.16,2.87,7.6,1.5
Alex Killorn,14.874390243902,0.89,1.08,57.97,7.53,11.76,0.79,14.12,8.9,3.3,4.33,1.13
Jamie Benn,18.226923076923,1.14,1.1,58.89,7.98,14.29,1.01,13.88,9.03,4.85,5.99,3.0
Nick Bonino,16.305349794239,0.77,0.82,55.56,5.36,14.41,0.55,9.18,5.04,2.27,1.09,3.18
Pat Maroon,14.169594594595,0.57,1.03,47.46,6.75,8.47,0.83,11.62,7.84,4.69,7.72,0.4
James van Riemsdyk,16.603535353535,1.48,1.15,66.67,9.14,16.17,1.05,14.35,8.49,5.2,1.86,0.88
Paul Byron,14.566666666667,1.1,1.18,64.58,6.91,15.96,0.73,9.71,6.84,3.9,8.39,2.65
Logan Couture,18.594855967078,1.08,1.71,63.64,8.13,13.24,0.86,14.38,8.01,3.47,2.59,2.07
Riley Nash,10.839743589744,0.21,0.64,52.17,5.61,3.8,0.55,8.73,5.04,2.48,5.11,3.05
Kyle Turris,15.692121212121,0.49,1.11,65.71,5.42,8.97,0.45,10.15,5.14,1.74,1.67,1.04
Colton Sceviour,12.295197740113,0.41,0.83,60.0,9.59,4.31,0.82,14.23,7.53,3.72,7.36,4.8
David Perron,17.095321637427,1.42,1.42,79.31,6.9,20.54,0.63,12.56,7.94,2.46,3.2,0.8
Patrick Kane,22.489094650206,1.45,2.17,77.46,11.23,12.9,1.03,19.7,10.24,3.06,0.69,0.59
Evgenii Dadonov,18.371138211382,1.12,1.67,56.0,7.77,14.36,1.05,14.3,9.48,4.38,1.31,1.67
Mikael Backlund,17.891991341991,0.91,1.13,59.49,8.93,10.24,0.98,14.81,8.88,3.83,2.26,1.13
Max Pacioretty,17.001262626263,1.18,0.96,68.97,10.21,11.52,1.04,17.91,10.96,3.96,6.36,1.07
Jakub Voracek,18.672222222222,0.82,1.9,69.47,8.65,9.52,0.77,15.78,7.29,2.72,0.7,1.19
Carl Hagelin,14.729310344828,0.35,0.98,51.35,6.95,5.05,0.63,12.5,6.81,3.02,4.49,1.4
Lars Eller,16.534362139918,0.58,1.03,58.06,7.3,7.98,0.81,12.28,7.66,3.18,3.09,2.11
Wayne Simmonds,15.666244725738,0.82,0.63,54.55,7.61,10.83,1.12,13.04,9.07,5.72,6.64,1.36
Zack Smith,16.352142857143,0.47,1.0,71.79,5.29,8.91,0.52,9.12,4.72,2.41,7.13,1.42
